Command,Description,Syntax,Parameters,Category,Tags
attach vdisk,"Attaches (sometimes called mounts or surfaces) a virtual hard disk (VHD) so that it appears on the host computer as a local hard disk drive. If the VHD already has a disk partition and file system volume when you attach it, the volume inside the VHD is assigned a drive letter.","attach vdisk [readonly] { [sd=<SDDL>]
 [usefilesd] } [noerr]","readonly - Attaches the VHD as read-only. Any write operation returns an error.
 sd=<SDDL string> - Sets the user filter on the VHD. The filter string must be in the Security Descriptor Definition Language (SDDL) format. By default the user filter allows access like on a physical disk. SDDL strings can be complex, but in its simplest form, a security descriptor that protects access is known as a discretionary access control list (DACL). It uses the form: D:<dacl_flags><string_ace1><string_ace2>... <string_acen> Common DACL flags are:A. Allow accessD. Deny accessCommon rights are:GA. All accessGR. Read access GW. Write accessCommon user accounts are:BA. Built in administratorsAU. Authenticated usersCO. Creator ownerWD. EveryoneExamples:D:P:(A;;GR;;;AU. Gives read-access to all authenticated users.D:P:(A;;GA;;;WD. Gives everyone full access.
 usefilesd - Specifies that the security descriptor on the .vhd file should be used on the VHD. If the Usefilesd parameter is not specified, the VHD will not have an explicit security descriptor unless it is specified with the Sd parameter.
 noerr - Used for scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",System Administration,Disk/Volume Management
attrib,"Displays, sets, or removes attributes assigned to files or directories. If used without parameters, attrib displays attributes of all files in the current directory.",attrib [{+|-}r] [{+|-}a] [{+|-}s] [{+|-}h] [{+|-}i] [<drive>:][<path>][<filename>] [/s [/d] [/l]],"{+|-}r - Sets (+) or clears (-) the Read-only file attribute.
 {+|-}a - Sets (+) or clears (-) the Archive file attribute. This attribute set marks files that have changed since the last time they were backed up. Note that the xcopy command uses archive attributes.
 {+|-}s - Sets (+) or clears (-) the System file attribute. If a file uses this attribute set, you must clear the attribute before you can change any other attributes for the file.
 {+|-}h - Sets (+) or clears (-) the Hidden file attribute. If a file uses this attribute set, you must clear the attribute before you can change any other attributes for the file.
 {+|-}i - Sets (+) or clears (-) the Not Content Indexed file attribute.
 [<drive>:][<path>][<filename>] - Specifies the location and name of the directory, file, or group of files for which you want to display or change attributes. You can use the ? and bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt wildcard characters in the filename parameter to display or change the attributes for a group of files.
 /s - Applies attrib and any command-line options to matching files in the current directory and all of its subdirectories.
 /d - Applies attrib and any command-line options to directories.
 /l - Applies attrib and any command-line options to the Symbolic Link, rather than the target of the Symbolic Link.
 /? - Displays help at the command prompt.",File Manipulation,Disk/Volume Management
attributes,"Displays, sets, or clears the attributes of a disk or volume.",attributes disk,"attributes-diskattributes disk - Displays, sets, or clears the attributes of a disk.
 attributes-volumeattributes volume - Displays, sets, or clears the attributes of a volume.",File Manipulation,Disk/Volume Management
attributes disk,"Displays, sets, or clears the attributes of a disk. When this command is used to display the current attributes of a disk, the startup disk attribute denotes the disk used to start the computer. For a dynamic mirror, it displays the disk that contains the boot plex of the boot volume.","attributes disk [{set
 clear}] [readonly] [noerr]","set - Sets the specified attribute of the disk with focus.
 clear - Clears the specified attribute of the disk with focus.
 readonly - Specifies that the disk is read-only.
 noerr - For scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",System Administration,Disk/Volume Management
attributes volume,"Displays, sets, or clears the attributes of a volume.","attributes volume [{set
 clear}] [{hidden
 readonly
 nodefaultdriveletter
 shadowcopy}] [noerr]","set - Sets the specified attribute of the volume with focus.
 clear - Clears the specified attribute of the volume with focus.
 readonly - Specifies that the volume is read-only.
 hidden - Specifies that the volume is hidden.
 nodefaultdriveletter - Specifies that the volume does not receive a drive letter by default.
 shadowcopy - Specifies that the volume is a shadow copy volume.
 noerr - For scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",File Manipulation,Disk/Volume Management
auditpol,"Displays information about and performs functions to manipulate audit policies, including:",auditpol command [<sub-command><options>],No description Available,"System Administration, Enumeration",Audit Policies
auditpol backup,"Backs up system audit policy settings, per-user audit policy settings for all users, and all auditing options to a comma-separated value (CSV) text file.",auditpol /backup /file:<filename>,"/file - Specifies the name of the file to which the audit policy will be backed up.
 /? - Displays help at the command prompt.",System Administration,Audit Policies
auditpol clear,"Deletes the per-user audit policy for all users, resets (disables) the system audit policy for all subcategories, and sets all the auditing options to disabled.",auditpol /clear [/y],"/y - Suppresses the prompt to confirm if all audit policy settings should be cleared.
 /? - Displays help at the command prompt.",System Administration,Audit Policies
auditpol get,"Retrieves the system policy, per-user policy, auditing options, and audit security descriptor object.",auditpol /get,"/user - Displays the security principal for whom the per-user audit policy is queried. Either the /category or /subcategory parameter must be specified. The user may be specified as a security identifier (SID) or name. If no user account is specified, then the system audit policy is queried.
 /category - One or more audit categories specified by globally unique identifier (GUID) or name. An asterisk (*) may be used to indicate that all audit categories should be queried.
 /subcategory - One or more audit subcategories specified by GUID or name.
 /sd - Retrieves the security descriptor used to delegate access to the audit policy.
 /option - Retrieves the existing policy for the CrashOnAuditFail, FullprivilegeAuditing, AuditBaseObjects, or AuditBasedirectories options.
 /r - Displays the output in report format, comma-separated value (CSV).
 /? - Displays help at the command prompt.","System Administration, Enumeration",Audit Policies
auditpol list,"Lists audit policy categories and subcategories, or lists users for whom a per-user audit policy is defined.",auditpol /list,"/user - Retrieves all users for whom the per-user audit policy has been defined. If used with the /v parameter, the security identifier (SID) of the user is also displayed.
 /category - Displays the names of categories understood by the system. If used with the /v parameter, the category globally unique identifier (GUID) is also displayed.
 /subcategory - Displays the names of subcategories and their associated GUID.
 /v - Displays the GUID with the category or subcategory, or when used with /user, displays the SID of each user.
 /r - Displays the output as a report in comma-separated value (CSV) format.
 /? - Displays help at the command prompt.","System Administration, Enumeration",Audit Policies
auditpol remove,Removes the per-user audit policy for a specified account or all accounts.,"auditpol /remove [/user[:<username
<{SID}>]]","/user - Specifies the security identifier (SID) or user name for the user for whom the per-user audit policy is to be deleted.
 /allusers - Removes the per-user audit policy for all users.
 /? - Displays help at the command prompt.",System Administration,Audit Policies
auditpol resourcesacl,Configures global resource system access control lists (SACLs).,auditpol /resourceSACL,"/set - Adds a new entry to or updates an existing entry in the resource SACL for the resource type specified.
 /remove - Removes all entries for the given user in the global object access auditing list.
 /clear - Removes all entries from the global object access auditing list.
 /view - Lists the global object access auditing entries in a resource SACL. The user and resource types are optional.
 /? - Displays help at the command prompt.",System Administration,Audit Policies
auditpol restore,"Restores system audit policy settings, per-user audit policy settings for all users, and all auditing options from a file that is syntactically consistent with the comma-separated value (CSV) file format used by the /backup option.",auditpol /restore /file:<filename>,"/file - Specifies the file from which the audit policy should be restored. The file must have been created by using the /backup option or must be syntactically consistent with the CSV file format used by the /backup option.
 /? - Displays help at the command prompt.",System Administration,Audit Policies
auditpol set,"Sets the per-user audit policy, system audit policy, or auditing options.",auditpol /set,"/user - The security principal for whom the per-user audit policy specified by the category or subcategory is set. Either the category or subcategory option must be specified, as a security identifier (SID) or name.
 /include - Specified with /user; indicates that the user's per-user policy will cause an audit to be generated even if it is not specified by the system audit policy. This setting is the default and is automatically applied if neither the /include nor /exclude parameters are explicitly specified.
 /exclude - Specified with /user; indicates that the user's per-user policy will cause an audit to be suppressed regardless of the system audit policy. This setting is ignored for users who are members of the local Administrators group.
 /category - One or more audit categories specified by globally unique identifier (GUID) or name. If no user is specified, the system policy is set.
 /subcategory - One or more audit subcategories specified by GUID or name. If no user is specified, the system policy is set.
 /success - Specifies success auditing. This setting is the default and is automatically applied if neither the /success nor /failure parameters are explicitly specified. This setting must be used with a parameter indicating whether to enable or disable the setting.
 /failure - Specifies failure auditing. This setting must be used with a parameter indicating whether to enable or disable the setting.
 /option - Sets the audit policy for the CrashOnAuditFail, FullprivilegeAuditing, AuditBaseObjects, or AuditBasedirectories options.
 /sd - Sets the security descriptor used to delegate access to the audit policy. The security descriptor must be specified by using the Security Descriptor Definition Language (SDDL). The security descriptor must have a discretionary access control list (DACL).
 /? - Displays help at the command prompt.",System Administration,Audit Policies
autochk,Runs when the computer is started and prior to Windows Server starting to verify the logical integrity of a file system.,No description Available,No description Available,System Administration,Integrity Check
autoconv,"Converts file allocation table (Fat) and Fat32 volumes to the NTFS file system, leaving existing files and directories intact at startup after autochk runs. volumes converted to the NTFS file system cannot be converted back to Fat or Fat32.",No description Available,No description Available,System Administration,Disk/Volume Management
autofmt,"Starts the Auto File System Format Utility, which formats a drive or partition when called from the Windows Recovery Console.",No description Available,No description Available,System Administration,Disk/Volume Management
automount,No description Available,No description Available,"enable - Enables Windows to automatically mount new basic and dynamic volumes that are added to the system and to assign them drive letters.
 disable - Prevents Windows from automatically mounting any new basic and dynamic volumes that are added to the system. Note: Disabling automount can cause failover clusters to fail the storage portion of the Validate a Configuration Wizard.
 scrub - Removes volume mount point directories and registry settings for volumes that are no longer in the system. This prevents volumes that were previously in the system from being automatically mounted and given their former volume mount point(s) when they are added back to the system.
 noerr - For scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",System Administration,Disk/Volume Management
bcdboot,"Enables you to quickly set up a system partition, or to repair the boot environment located on the system partition. The system partition is set up by copying a simple set of Boot Configuration Data (BCD) files to an existing empty partition.",bcdboot <source> [/l] [/s],"source - Specifies the location of the Windows directory to use as the source for copying boot environment files.
 /l - Specifies the locale. The default locale is US English.
 /s - Specifies the volume letter of the system partition. The default is the system partition identified by the firmware.",System Administration,Disk/Volume Management
bcdedit,Boot Configuration Data (BCD) files provide a store that is used to describe boot applications and boot application settings. The objects and elements in the store effectively replace Boot.ini.,bcdedit /command [<argument1>] [<argument2>] ...,"/copy - Makes a copy of a specified boot entry in the same system store.
 /create - Creates a new entry in the boot configuration data store. If a well-known identifier is specified, then the /application, /inherit, and /device parameters cannot be specified. If an identifier is not specified or not well known, an /application, /inherit, or /device option must be specified.
 /delete - Deletes an element from a specified entry.
 /deletevalue - Deletes a specified element from a boot entry.
 /set - Sets an entry option value.
 /enum - Lists entries in a store. The /enum option is the default value for BCEdit, so running the bcdedit command without parameters is equivalent to running the bcdedit /enum active command.
 /v - Verbose mode. Usually, any well-known entry identifiers are represented by their friendly shorthand form. Specifying /v as a command-line option displays all identifiers in full. Running the bcdedit /v command by itself is equivalent to running the bcdedit /enum active /v command.
 /bootsequence - Specifies a one-time display order to be used for the next boot. This command is similar to the /displayorder option, except that it is used only the next time the computer starts. Afterwards, the computer reverts to the original display order.
 /default - Specifies the default entry that the boot manager selects when the timeout expires.
 /displayorder - Specifies the display order that the boot manager uses when displaying boot parameters to a user.
 /timeout - Specifies the time to wait, in seconds, before the boot manager selects the default entry.
 /toolsdisplayorder - Specifies the display order for the boot manager to use when displaying the Tools menu.
 /bootems - Enables or disables Emergency Management Services (EMS) for the specified entry.
 /ems - Enables or disables EMS for the specified operating system boot entry.
 /emssettings - Sets the global EMS settings for the computer. /emssettings does not enable or disable EMS for any particular boot entry.
 /bootdebug - Enables or disables the boot debugger for a specified boot entry. Although this command works for any boot entry, it is effective only for boot applications.
 /dbgsettings - Specifies or displays the global debugger settings for the system. This command does not enable or disable the kernel debugger; use the /debug option for that purpose. To set an individual global debugger setting, use the bcdedit /set <dbgsettings> <type> <value> command.
 /debug - Enables or disables the kernel debugger for a specified boot entry.",System Administration,Disk/Volume Management
bdehdcfg,Prepares a hard drive with the partitions necessary for BitLocker Drive Encryption. Most installations of Windows 7 will not need to use this tool because BitLocker setup includes the ability to prepare and repartition drives as required.,"bdehdcfg [–driveinfo <drive_letter>] [-target {defaul
unallocate
<drive_letter> shrin
<drive_letter> merge}] [–newdriveletter] [–size <size_in_mb>] [-quiet]","bdehdcfg-driveinfobdehdcfg: driveinfo - Displays the drive letter, the total size, the maximum free space, and the partition characteristics of the partitions on the drive specified. Only valid partitions are listed. Unallocated space is not listed if four primary or extended partitions already exist.
 bdehdcfg-targetbdehdcfg: target - Defines which portion of a drive to use as the system drive and makes the portion active.
 bdehdcfg-newdriveletterbdehdcfg: newdriveletter - Assigns a new drive letter to the portion of a drive used as the system drive.
 bdehdcfg-sizebdehdcfg: size - Determines the size of the system partition when a new system drive is being created.
 bdehdcfg-quietbdehdcfg: quiet - Prevents the display of all actions and errors in the command-line interface and directs bdehdcfg to use the Yes answer to any Yes/No prompts that may occur during subsequent drive preparation.
 bdehdcfg-restartbdehdcfg: restart - Directs the computer to restart after the drive preparation has finished.
 /? - Displays Help at the command prompt.",System Administration,"Disk/Volume Management, BitLocker"
bdehdcfg driveinfo,"Displays the drive letter, the total size, the maximum free space, and the partition characteristics. Only valid partitions are listed. Unallocated space is not listed if four primary or extended partitions already exist.",bdehdcfg -driveinfo <drive_letter>,<drive_letter> - Specifies a drive letter followed by a colon.,"System Administration, Enumeration","Disk/Volume Management, BitLocker"
bdehdcfg newdriveletter,"Assigns a new drive letter to the portion of a drive used as the system drive. As a best practice, we recommend not assigning a drive letter to your system drive.","bdehdcfg -target {defaul
unallocate
<drive_letter> shrin
<drive_letter> merge} -newdriveletter <drive_letter>",<drive_letter> - Defines the drive letter that will be assigned to the specified target drive.,System Administration,"Disk/Volume Management, BitLocker"
bdehdcfg quiet,"Informs the bdehdcfg command-line tool that all actions and errors are not to be displayed in the command-line interface. Any Yes/No (Y/N) prompts displayed during the drive preparation will assume a &quot;Yes&quot; answer. To view any error that occurred during drive preparation, review the system event log under the Microsoft-Windows-BitLocker-DrivePreparationTool event provider.","bdehdcfg -target {defaul
unallocate
<drive_letter> shrin
<drive_letter> merge} -quiet",No description Available,System Administration,"Disk/Volume Management, BitLocker"
bdehdcfg restart,"Informs the bdehdcfg command-line tool that the computer should be restarted after the drive preparation has concluded. If other users are logged on to the computer and the quiet command is not specified, a prompt appears to confirm that the computer should be restarted.","bdehdcfg -target {defaul
unallocate
<drive_letter> shrin
<drive_letter> merge} -restart",No description Available,System Administration,"Disk/Volume Management, BitLocker"
bdehdcfg size,"Specifies the size of the system partition when a new system drive is being created. If you do not specify a size, the tool will use the default value of 300 MB. The minimum size of the system drive is 100 MB. If you will store system recovery or other system tools on the system partition, you should increase the size accordingly.","bdehdcfg -target {defaul
unallocate
<drive_letter> shrink} -size <size_in_mb>",<size_in_mb> - Indicates the number of megabytes (MB) to use for the new partition.,System Administration,"Disk/Volume Management, BitLocker"
bdehdcfg target,"Prepares a partition for use as a system drive by BitLocker and Windows Recovery. By default, this partition is created without a drive letter.","bdehdcfg -target {defaul
unallocate
<drive_letter> shrin
<drive_letter> merge}","default - Indicates that the command-line tool will follow the same process as the BitLocker setup wizard.
 unallocated - Creates the system partition out of the unallocated space available on the disk.
 <drive_letter> shrink - Reduces the drive specified by the amount necessary to create an active system partition. To use this command, the drive specified must have at least 5 percent free space.
 <drive_letter> merge - Uses the drive specified as the active system partition. The operating system drive cannot be a target for merge.",System Administration,"Disk/Volume Management, BitLocker"
begin backup,Starts a full backup session. This command overrides the default copy backup setting.,begin backup,No description Available,System Administration,Backup/Restore
begin restore,Starts a restore session and issues a PreRestore event to involved writers.,begin restore,No description Available,System Administration,Backup/Restore
bitsadmin,"Bitsadmin is a command-line tool used to create, download or upload jobs, and to monitor their progress. The bitsadmin tool uses switches to identify the work to perform. You can call bitsadmin /? or bitsadmin /help to get a list of switches.",No description Available,No description Available,System Administration,File Transfer
bitsadmin addfile,Adds a file to the specified job.,bitsadmin /addfile <job> <remoteURL> <localname>,"job - The job's display name or GUID.
 remoteURL - The URL of the file on the server.
 localname - The name of the file on the local computer. Localname must contain an absolute path to the file.",System Administration,File Transfer
bitsadmin addfileset,Adds one or more files to the specified job.,bitsadmin /addfileset <job> <textfile>,"job - The job's display name or GUID.
 textfile - A text file, each line of which contains a remote and a local file name. Note: Names must space-delimited. Lines starting with a # character are treated as a comment.",System Administration,File Transfer
bitsadmin addfilewithranges,Adds a file to the specified job. BITS downloads the specified ranges from the remote file. This switch is valid only for download jobs.,bitsadmin /addfilewithranges <job> <remoteURL> <localname> <rangelist>,"job - The job's display name or GUID.
 remoteURL - URL of the file on the server.
 localname - Name of the file on the local computer. Must contain an absolute path to the file.
 rangelist - Comma-delimited list of offset:length pairs. Use a colon to separate the offset value from the length value. For example, a value of 0:100,2000:100,5000:eof tells BITS to transfer 100 bytes from offset 0, 100 bytes from offset 2000, and the remaining bytes from offset 5000 to the end of the file.",System Administration,File Transfer
bitsadmin cache,Contains a list of the bitsadmin /cache switches.,bitsadmin /cache /help,"bitsadmin-cache-and-helpbitsadmin cache and help - Displays the command-line usage for the /cache switches.
 bitsadmin-cache-clearbitsadmin cache and clear - Purges the local cache.
 bitsadmin-cache-and-deletebitsadmin cache and delete - Deletes a cache entry.
 bitsadmin-cache-and-deleteurlbitsadmin cache and deleteURL - Deletes all cache entries for the given URL.
 bitsadmin-cache-and-listbitsadmin cache and list - Lists all cache entries.
 bitsadmin-cache-and-infobitsadmin cache and info - Dumps a specific cache entry.
 bitsadmin-cache-and-getlimitbitsadmin cache and getlimit - Retrieves the cache limit.
 bitsadmin-cache-and-setlimitbitsadmin cache and setlimit - Sets the cache limit.
 bitsadmin-cache-and-getexpirationtimebitsadmin cache and getexpirationtime - Retrieves the cache expiration time.
 bitsadmin-cache-and-setexpirationtimebitsadmin cache and setexpirationtime - Sets the cache expiration time.",System Administration,File Transfer
bitsadmin cache-and-delete,Deletes a specific cache entry.,bitsadmin /cache /delete recordID,recordID - The GUID associated with the cache entry.,System Administration,File Transfer
bitsadmin cache-and-deleteurl,Deletes all cache entries for the given URL.,bitsadmin /deleteURL URL,URL - The Uniform Resource Locator that identifies a remote file.,System Administration,File Transfer
bitsadmin cache-and-getexpirationtime,Retrieves the cache expiration time.,bitsadmin /cache /getexpirationtime,No description Available,System Administration,File Transfer
bitsadmin cache-and-getlimit,Retrieves the cache limit.,bitsadmin /cache /getlimit,No description Available,System Administration,File Transfer
bitsadmin cache-and-help,Displays the command-line usage for the cache switches.,bitsadmin /cache /help,No description Available,System Administration,File Transfer
bitsadmin cache-and-info,Dumps a specific cache entry.,bitsadmin /cache /info recordID [/verbose],No description Available,System Administration,File Transfer
bitsadmin cache-and-list,Lists all cache entries.,bitsadmin /cache /list [/verbose],No description Available,System Administration,File Transfer
bitsadmin cache-and-setexpirationtime,Sets the cache expiration time.,bitsadmin /cache /setexpirationtime secs,secs - The number of seconds until the cache expires.,System Administration,File Transfer
bitsadmin cache-and-setlimit,Sets the cache size limit.,bitsadmin /cache /setlimit percent,percent - The cache limit defined as a percentage of the total hard disk space.,System Administration,File Transfer
bitsadmin cache-clear,Purges the local cache.,bitsadmin /cache /clear,No description Available,System Administration,File Transfer
bitsadmin cancel,Removes the job from the transfer queue and deletes all temporary files associated with the job.,bitsadmin /cancel <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin complete,"Completes the job. Use this switch after the job moves to the transferred state. Otherwise, only those files that have been successfully transferred will be available.",bitsadmin /complete <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin create,Creates a transfer job with the given display name.,bitsadmin /create [type] displayname,"type - There are three types of jobs:/Download. Transfers data from a server to a local file./Upload. Transfers data from a local file to a server./Upload-Reply. Transfers data from a local file to a server and receives a reply file from the server.This parameter defaults to /Download if it's not specified.
 displayname - The display name assigned to the newly created job.",System Administration,File Transfer
bitsadmin examples,The following examples show how to use the bitsadmin tool to perform the most common tasks.,No description Available,No description Available,System Administration,File Transfer
bitsadmin getaclflags,"Retrieves the access control list (ACL) propagations flags, reflecting whether items are inherited by child objects.",bitsadmin /getaclflags <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getbytestotal,Retrieves the size of the specified job.,bitsadmin /getbytestotal <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getbytestransferred,Retrieves the number of bytes transferred for the specified job.,bitsadmin /getbytestransferred <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getclientcertificate,Retrieves the client certificate from the job.,bitsadmin /getclientcertificate <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getcompletiontime,Retrieves the time that the job finished transferring data.,bitsadmin /getcompletiontime <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getcreationtime,Retrieves the creation time for the specified job.,bitsadmin /getcreationtime <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getcustomheaders,Retrieves the custom HTTP headers from the job.,bitsadmin /getcustomheaders <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getdescription,Retrieves the description of the specified job.,bitsadmin /getdescription <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getdisplayname,Retrieves the display name of the specified job.,bitsadmin /getdisplayname <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin geterror,Retrieves detailed error information for the specified job.,bitsadmin /geterror <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin geterrorcount,Retrieves a count of the number of times the specified job generated a transient error.,bitsadmin /geterrorcount <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getfilestotal,Retrieves the number of files in the specified job.,bitsadmin /getfilestotal <job>,job - The job's display name or GUID.,System Administration,File Transfer
bitsadmin getfilestransferred,Retrieves the number of files transferred for the specified job.,bitsadmin /getfilestransferred <job>,job - The job's display name or GUID.,System Administration,File Transfer
