"Command","Description","Syntax","Parameters","Links","Category","Tags"
"Import-Alias","Import an alias list from a file."," Import-Alias [-path] <i>string</i> [-passThru] [-scope <i>string</i>]
 [-force] [-whatIf] [-confirm] [CommonParameters]
"," -Path <i>path</i>
 The path to the item {may be piped}
 Wildcards are allowed but they must resolve to a single name.
 -passThru 
 Pass the object created by Import-Alias through the pipeline.
 -scope <i>string</i>
 The scope to apply to the imported aliases.
 Valid values are Global, Local, or Script, or a number relative
 to the current scope ( 0 through the number of scopes, where 0 is the
 current scope and 1 is its parent). Local is the default.
 For more, type get-alias | select-object name,Options
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
 -confirm
 Prompt for confirmation before executing the command.
","https://ss64.com/ps/import-alias.html","File Manipulation, System Utility, Obfuscation","Alias"
"ipal","Import an alias list from a file."," Import-Alias [-path] <i>string</i> [-passThru] [-scope <i>string</i>]
 [-force] [-whatIf] [-confirm] [CommonParameters]
"," -Path <i>path</i>
 The path to the item {may be piped}
 Wildcards are allowed but they must resolve to a single name.
 -passThru 
 Pass the object created by Import-Alias through the pipeline.
 -scope <i>string</i>
 The scope to apply to the imported aliases.
 Valid values are Global, Local, or Script, or a number relative
 to the current scope ( 0 through the number of scopes, where 0 is the
 current scope and 1 is its parent). Local is the default.
 For more, type get-alias | select-object name,Options
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
 -confirm
 Prompt for confirmation before executing the command.
","https://ss64.com/ps/import-alias.html","File Manipulation, System Utility, Obfuscation","Alias"
"New-Alias","Create a new alias."," New-Alias [ [-name] <i>string</i>[] ] [-value] <i>string</i> [-description <i>string</i>] 
 [-option <i>option</i>] [-passThru] [-scope <i>string</i>] [-force] 
 [-whatIf] [-confirm] [<i><a href=""common.html"">CommonParameters</a></i>]</pre>
"," -name <i>string</i>[]
 The alias to create, the first character cannot be a number.
 -value <i>string</i>
 The name of the cmdlet or command element that is being aliased.
 -description <i>string</i>
 A description for the alias.
 -option <i>option</i>
 The valid options are: 
 None : Set no options. (default) 
 ReadOnly: The alias cannot be changed unless you use -Force. 
 Constant: The alias cannot be changed, even by using -Force. 
 Private : The alias is available only within the scope specified by -Scope. 
 It is invisible in all other scopes.
 -passThru 
 Pass the object created by this cmdlet through the pipeline. 
 -scope <i>string</i>
 The scope in which this alias is valid. 
 Valid values are Global, Local, or Script, or a number relative
 to the current scope ( 0 through the number of scopes, where 0 is the
 current scope and 1 is its parent). Local is the default.
 For more, type set-alias if the alias name already exists.
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
 -confirm
 Prompt for confirmation before executing the command.
","https://ss64.com/ps/new-alias.html","File Manipulation, System Utility, Obfuscation","Alias"
"nal","Create a new alias."," New-Alias [ [-name] <i>string</i>[] ] [-value] <i>string</i> [-description <i>string</i>] 
 [-option <i>option</i>] [-passThru] [-scope <i>string</i>] [-force] 
 [-whatIf] [-confirm] [<i><a href=""common.html"">CommonParameters</a></i>]</pre>
"," -name <i>string</i>[]
 The alias to create, the first character cannot be a number.
 -value <i>string</i>
 The name of the cmdlet or command element that is being aliased.
 -description <i>string</i>
 A description for the alias.
 -option <i>option</i>
 The valid options are: 
 None : Set no options. (default) 
 ReadOnly: The alias cannot be changed unless you use -Force. 
 Constant: The alias cannot be changed, even by using -Force. 
 Private : The alias is available only within the scope specified by -Scope. 
 It is invisible in all other scopes.
 -passThru 
 Pass the object created by this cmdlet through the pipeline. 
 -scope <i>string</i>
 The scope in which this alias is valid. 
 Valid values are Global, Local, or Script, or a number relative
 to the current scope ( 0 through the number of scopes, where 0 is the
 current scope and 1 is its parent). Local is the default.
 For more, type set-alias if the alias name already exists.
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
 -confirm
 Prompt for confirmation before executing the command.
","https://ss64.com/ps/new-alias.html","File Manipulation, System Utility, Obfuscation","Alias"
"Set-Alias","Create or change an alias."," Set-Alias [-name] <i>string</i> [-value] <i>string</i> [-description <i>string</i>] 
 [-option <i>Option</i>] [-passThru] [-scope <i>string</i>] 
 [-force] [-whatIf] [-confirm] [<i><a href=""common.html"">CommonParameters</a></i>]</pre>
"," -name <i>string</i>[]
 The alias to create, the first character cannot be a number.
 
 -value <i>string</i>
 The name of the cmdlet or command element that is being aliased.
 -description <i>string</i>
 A description for the alias.
 -option <i>option</i>
 The valid options are: 
 None : Set no options. (default) 
 ReadOnly: The alias cannot be changed unless you use -Force. 
 Constant: The alias cannot be changed, even by using -Force. 
 Private : The alias is available only within the scope specified by -Scope. 
 It is invisible in all other scopes.
 AllScope: The alias is copied to any new scopes that are created.
 -passThru 
 Return an object representing the alias.
 By default, this cmdlet does not generate any output. 
 -scope <i>string</i>
 The scope in which this alias is valid. 
 Valid values are Global, Local, or Script, or a number relative
 to the current scope ( 0 through the number of scopes, where 0 is the
 current scope and 1 is its parent). Local is the default.
 For more, type get-help about_scope<b>.</b>
 -force
 Allows the cmdlet to set a read-only alias.
 Use -Option to create a read-only alias.
 -Force cannot be used to edit a constant alias.
 
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
 
 -confirm
 Prompt for confirmation before executing the command.
","https://ss64.com/ps/set-alias.html","File Manipulation, System Utility, Obfuscation","Alias"
"sal","Create or change an alias."," Set-Alias [-name] <i>string</i> [-value] <i>string</i> [-description <i>string</i>] 
 [-option <i>Option</i>] [-passThru] [-scope <i>string</i>] 
 [-force] [-whatIf] [-confirm] [<i><a href=""common.html"">CommonParameters</a></i>]</pre>
"," -name <i>string</i>[]
 The alias to create, the first character cannot be a number.
 
 -value <i>string</i>
 The name of the cmdlet or command element that is being aliased.
 -description <i>string</i>
 A description for the alias.
 -option <i>option</i>
 The valid options are: 
 None : Set no options. (default) 
 ReadOnly: The alias cannot be changed unless you use -Force. 
 Constant: The alias cannot be changed, even by using -Force. 
 Private : The alias is available only within the scope specified by -Scope. 
 It is invisible in all other scopes.
 AllScope: The alias is copied to any new scopes that are created.
 -passThru 
 Return an object representing the alias.
 By default, this cmdlet does not generate any output. 
 -scope <i>string</i>
 The scope in which this alias is valid. 
 Valid values are Global, Local, or Script, or a number relative
 to the current scope ( 0 through the number of scopes, where 0 is the
 current scope and 1 is its parent). Local is the default.
 For more, type get-help about_scope<b>.</b>
 -force
 Allows the cmdlet to set a read-only alias.
 Use -Option to create a read-only alias.
 -Force cannot be used to edit a constant alias.
 
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
 
 -confirm
 Prompt for confirmation before executing the command.
","https://ss64.com/ps/set-alias.html","File Manipulation, System Utility, Obfuscation","Alias"
"Get-AppvClientPackage","Return App-V Client Packages.","Not Available","Not Available","Not Available",,
"Get-AppxPackage","List the app packages installed in a user profile."," Get-AppxPackage [[-Name] <i>String</i>]
 <b>[</b>[-Publisher] <i>String</i><b>]</b> [-AllUsers] [-PackageTypeFilter {None | Main | Framework | Resource | Bundle | Xap}]
 [-User <i>String</i>] [-Volume <i>AppxVolume</i>] [<a href=""common.html""><i>CommonParameters</i></a>]
"," -AllUsers
 Indicates that this cmdlet lists app packages for all user accounts on the computer. 
 This parameter requires administrator permissions.
 
 -Name [<i>String</i>]
 Return results for the specified package only. Wildcards are permitted.
 
 -PackageTypeFilter [<i>PackageTypes</i>]
 One or more comma-separated types of packages that the cmdlet gets from the package repository. 
 Valid values are: 
 
 -- Bundle
 -- Framework
 -- Main
 -- Resource
 -- None
 
 By default, this cmdlet returns only packages of types Main and Framework.
 
 -Publisher [<i>String</i>]
 The publisher of a particular package. If you specify this parameter, the cmdlet returns results 
 only for this publisher. Wildcards are permitted.
 
 -User [<i>String</i>]
 A user. If you specify this parameter, the cmdlet returns a list of app packages that are installed 
 for only the user specified. To get the list of packages for a user profile other than the profile for
 the current user, you must run this command by using administrator permissions. The user name can 
 be in one of these formats: 
 
 -- domain\user_name
 -- user_name@fqn.domain.tld
 -- user_name
 -- SID-string
 -Volume [<i>AppxVolume</i>]
 An AppxVolume object. If you specify this parameter, this cmdlet returns only packages that are 
 relative to the volume that this parameter specifies.
","https://ss64.com/ps/get-appxpackage.html","System Administration",
"Remove-AppxPackage","Remove an app package from a user account."," Remove-AppxPackage [-Package] <i>String</i> [-PreserveApplicationData]
 [-Confirm] [-WhatIf] [<a href=""common.html""><i>CommonParameters</i></a>]
"," -Package <i>String</i>
 An AppxPackage object or the full name of the package to be removed.
 
 -PreserveApplicationData
 Preserve the application data during package removal.
 The application data is available for later use.
 
 -Confirm
 Prompt for confirmation before running the cmdlet.
 
 -WhatIf
 Shows what would happen if the cmdlet runs. The cmdlet is not run.
","https://ss64.com/ps/remove-appxpackage.html","System Administration",
"Add-AppxProvisionedPackage",,"Not Available","Not Available","Not Available",,
"Compress-Archive","Create a new archive/zipped file. [PS 5+]"," Compress-Archive [<b>-Path</b>] <i>String</i>[] [-DestinationPath] <i>String</i>
 [-CompressionLevel <i>String</i> ] [-Update]
 [-Confirm] [-WhatIf] [<a href=""common.html""><i>CommonParameters</i></a>]
 Compress-Archive [-DestinationPath] <i>String</i> <b>-LiteralPath</b> <i>String</i>[]
 [-CompressionLevel <i>String</i> ] [-Update]
 [-Confirm] [-WhatIf] [<a href=""common.html""><i>CommonParameters</i></a>]
","Not Available","https://ss64.com/ps/compress-archive.html","File Manipulation ","Compression"
"Expand-Archive","Extract files from an archive (zipped) file [PS 5+]"," Expand-Archive [<b>-Path</b>] <i>String</i> [-DestinationPath] <i>String</i> [-Force]
 [-Confirm] [-WhatIf] [<a href=""common.html""><i>CommonParameters</i></a>]
 Expand-Archive [-DestinationPath] <i>String</i> <b>-LiteralPath</b> <i>String</i> [-Force]
 [-Confirm] [-WhatIf] [<a href=""common.html""><i>CommonParameters</i></a>]
","Not Available","https://ss64.com/ps/expand-archive.html","File Manipulation ","Compression"
"Get-AuthenticodeSignature","Get the signature object associated with a file."," Get-AuthenticodeSignature [-filePath] <i>string</i>[] [<a href=""common.html""><i>CommonParameters</i></a>]
"," -filePath <i>path</i>
 The path to the item {may be piped}
","https://ss64.com/ps/get-authenticodesignature.html","File Manipulation ","File Signature"
"Set-AuthenticodeSignature","Place a signature in a .ps1 script or other file."," Set-AuthenticodeSignature [-filePath] <i>string</i>[]
 [-certificate] <i>X509Certificate2</i> [-includeChain <i>string</i>]
 [-timeStampServer string] [-HashAlgorithm <i>string</i>]
 [-force] [-whatIf] [-confirm] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/set-authenticodesignature.html","File Manipulation ","File Signature"
"Backup-GPO","Backup group policy objects. (GPOs)"," Backup-GPO [-Name] <i>string</i> -Path <i>string</i>
 [-Comment <i>string</i>] [-Domain <i>string</i>] [-Server <i>string</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 Backup-GPO <b>-All</b> -Path <i>string
 </i> [-Comment <i>string</i>] [-Domain <i>string</i>] [-Server <i>string</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 Backup-GPO <b>-Guid</b> &lt;Guid&gt; -Path <i>string</i>
 [-Comment <i>string</i>] [-Domain <i>string</i>] [-Server <i>string</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -All Backup all GPOs in the domain.
 -Comment <i>string</i> 
 Include a comment for the backed-up GPO.
 -Domain string
 The domain containing the GPOs to backup, requires a trust relationship if not the current domain.
 -Guid <i>Guid</i>
 Specify the GPO to backup by its globally unique identifier (GUID).
 -Name <i>string
","https://ss64.com/ps/backup-gpo.html","System Administraiton","GPO"
"Begin","Function BEGIN block.","Not Available","Not Available","https://ss64.com/ps/syntax-function-input.html","System Utility","Command Execution, Scripting"
"Enable-BitLocker","Enable encryption for a BitLocker volume."," Enable-BitLocker [-MountPoint] <i>String</i>[] <b>-AdAccountOrGroupProtector</b> [-AdAccountOrGroup] <i>String
 </i>[-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-Service] [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Enable-BitLocker [-MountPoint] <i>String</i>[] <b>-PasswordProtector</b> [[-Password] <i>SecureString</i>]
 [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Enable-BitLocker [-MountPoint] <i>String</i>[] <b>-TpmAndPinProtector</b> [[-Pin] <i>SecureString</i>]
 [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
 Enable-BitLocker [-MountPoint] <i>String</i>[]
 <b>-TpmAndPinAndStartupKeyProtector</b> [-StartupKeyPath] <i>String </i>[[-Pin] <i>SecureString</i>]
 [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Enable-BitLocker [-MountPoint] <i>String</i>[] [<b>-RecoveryKeyPath</b>] <i>String</i>
 [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-SkipHardwareTest] [-UsedSpaceOnly] -RecoveryKeyProtector
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Enable-BitLocker [-MountPoint] <i>String</i>[]<b> -RecoveryPasswordProtector</b> [[-RecoveryPassword] <i>String</i>]
 [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>]
 [-HardwareEncryption] [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Enable-BitLocker [-MountPoint] <i>String</i>[] <b>-StartupKeyProtector</b> [-StartupKeyPath] <i>String</i>
 [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Enable-BitLocker [-MountPoint] <i>String</i>[]<b>-TpmAndStartupKeyProtector</b> [-StartupKeyPath] <i>String</i>
 [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Enable-BitLocker [-MountPoint] <i>String</i>[]<b> -TpmProtector</b>
 [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
"," [-EncryptionMethod <i>BitLockerVolumeEncryptionMethodOnEnable</i>] [-HardwareEncryption]
 [-SkipHardwareTest] [-UsedSpaceOnly]
 [-Confirm] [-WhatIf] [<i>Add-BitLockerKeyProtector - Add a key protector for a BitLocker volume.
","https://ss64.com/ps/enable-bitlocker.html","System Administration","Encryption, BitLocker"
"Enable-BitLockerAutoUnlock","Enable automatic unlocking for a BitLocker volume."," Enable-BitLockerAutoUnlock [-MountPoint] <i>String</i>[]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -MountPoint <i>String</i>[]
 An array of drive letters or BitLocker volume objects. The cmdlet enables automatic unlocking for 
 the volumes specified. To obtain a BitLocker volume object, use Get-BitLockerVolume.
 -Confirm
 Prompt for confirmation before running the cmdlet.
 -WhatIf
 Show what would happen if the cmdlet runs. The cmdlet is not run.
","https://ss64.com/ps/enable-bitlockerautounlock.html","System Administration","Encryption, BitLocker"
"Resume-Bitlocker","Resume Bitlocker encryption for the specified volume."," Resume-BitLocker [-MountPoint] <i>String</i>[]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -MountPoint <i>String</i>[]
 An array of drive letters or BitLocker volume objects. This cmdlet suspends protection for the 
 volumes specified. To obtain a BitLocker volume object, use Get-BitLockerVolume.
 -Confirm
 Prompt for confirmation before running the cmdlet.
 -WhatIf
 Show what would happen if the cmdlet runs. The cmdlet is not run.
","https://ss64.com/ps/resume-bitlocker.html","System Administration","Encryption, BitLocker"
